ID,Title,Author,Shelf,Subject,Topics,Type,Extra Fields,OCR Content,Cover,Status,Last Updated
2,Higher Engineering Maths Grewall Khanna Publications,Khanna Publications,C-1,Engineering MAths,,Text,{},,4df0238fabbb40179c3293b51fac9484_bsgreywall.jpg,Off Shelf,2026-04-09 23:03
1,Calculus,Anton Bieven,Shelf-1,Maths,Undergraduate-Calculus,Text,"{""Book Number"": ""12""}",,6df474dc7f674fd890521e6965ad7e87_anton-bieven.webp,On Shelf,2026-04-09 22:54
